store,sale.date,tran.number,sku,category,qty,unit.cost,ext.cost,unit.original.retail,sale.amount,price.category,gross.margin,loyalty.member,customer.id
12,2023-02-25,11386,2918736,Footwear,1,33.39,33.39,144.0,59.94,Clearance,0.4429429429429429,0,
12,2023-02-25,11387,2923953,Footwear,1,42.69,42.69,174.0,75.0,Full Price,0.4308,0,
12,2023-02-25,11388,2923954,Footwear,1,42.69,42.69,174.0,75.0,Full Price,0.4308,0,
12,2023-02-25,11395,2927232,Women's Apparel,1,22.39,22.39,99.0,56.25,Full Price,0.6019555555555556,0,
12,2023-02-25,11398,2927233,Women's Apparel,1,22.39,22.39,99.0,56.25,Full Price,0.6019555555555556,0,
12,2023-02-25,11399,2923954,Footwear,1,42.69,42.69,174.0,75.0,Full Price,0.4308,0,
12,2023-02-25,11399,2930499,Footwear,1,25.11,25.11,114.0,75.0,Full Price,0.6652,0,
12,2023-02-25,11400,2927261,Footwear,1,34.71,34.71,144.0,75.0,Full Price,0.5372,0,
12,2023-02-25,11401,2929464,Women's Apparel,1,23.71,23.71,108.0,56.25,Full Price,0.5784888888888888,0,
12,2023-02-25,11409,2923960,Accessories,1,11.37,11.37,48.0,25.0,Full Price,0.5452,0,
12,2023-02-25,11422,2930512,Footwear,1,25.11,25.11,114.0,75.0,Full Price,0.6652,1,C40824
12,2023-02-25,11422,2923970,Footwear,1,26.61,26.61,114.0,75.0,Full Price,0.6452,1,C40824
12,2023-02-25,11422,2918772,Footwear,1,36.93,36.93,168.0,75.0,Markdown,0.5076,1,C40824
12,2023-02-25,11422,2930511,Footwear,1,25.11,25.11,114.0,75.0,Full Price,0.6652,1,C40824
12,2023-02-25,11425,2923969,Footwear,1,26.61,26.61,114.0,75.0,Full Price,0.6452,1,C41262
12,2023-02-25,11426,2927233,Women's Apparel,1,22.39,22.39,99.0,56.25,Full Price,0.6019555555555556,0,
12,2023-02-25,11426,2930038,Accessories,1,10.79,10.79,50.0,25.0,Markdown,0.5684,0,
12,2023-02-25,11432,2929426,Childrens,1,9.61,9.61,43.5,18.75,Full Price,0.4874666666666667,0,
12,2023-02-25,11434,2917604,Footwear,1,28.08,28.08,132.0,59.94,Clearance,0.5315315315315315,0,
12,2023-02-25,11435,2923877,Accessories,1,11.13,11.13,48.0,25.0,Full Price,0.5548,1,C41746
12,2023-02-25,11436,2929419,Childrens,1,8.13,8.13,36.0,18.75,Full Price,0.5663999999999999,1,C40443
12,2023-02-25,11439,2929762,Women's Apparel,1,23.2,23.2,108.0,56.25,Full Price,0.5875555555555555,1,C42081
12,2023-02-25,11453,2927259,Footwear,1,34.71,34.71,144.0,57.6,Full Price,0.39739583333333334,0,
12,2023-02-25,11456,2930496,Footwear,1,25.11,25.11,114.0,75.0,Full Price,0.6652,0,
12,2023-02-26,11489,2923955,Footwear,1,42.69,42.69,174.0,75.0,Full Price,0.4308,0,
12,2023-02-26,11493,2929792,Men's Apparel,1,20.95,20.95,94.5,43.75,Full Price,0.5211428571428571,0,
12,2023-02-26,11494,2911906,Women's Apparel,1,29.92,29.92,108.0,44.95,Clearance,0.33437152391546165,0,
12,2023-02-26,11499,2911921,Men's Apparel,1,21.54,21.54,94.5,34.97,Clearance,0.3840434658278524,1,C40959
12,2023-02-26,11511,2918717,Footwear,1,36.93,36.93,168.0,75.0,Markdown,0.5076,1,C40953
12,2023-02-26,11513,2930495,Footwear,1,25.11,25.11,114.0,75.0,Full Price,0.6652,0,
12,2023-02-26,11516,2927260,Footwear,1,34.71,34.71,144.0,75.0,Full Price,0.5372,1,C40500
12,2023-02-26,11516,2923954,Footwear,1,42.69,42.69,174.0,75.0,Full Price,0.4308,1,C40500
